Task ID,Task Name,Subtasks,Priority,Status,Description
KB,Knowledge Pack,KB-1|KB-2|KB-3|KB-4|KB-5|KB-6,2,to do,"Epic. Build the knowledge content pack the agent retrieves from: company rules/regulations plus the who-owns-what ownership map and directory. Authored by interns with HR / IT / department-head input."
KB-1,KB-1 · Content schema (policy + ownership),,1,to do,"WHAT: Design the JSON schema every knowledge source uses. PolicyDoc fields: id, title, category, audience, language, body, source, owning_department, last_updated. ResponsibilityArea fields: id, topic, keywords, owning_department, primary_contact, contact_channel, notes.
DEPENDS ON: Nothing. Do this FIRST - it blocks all content and ingestion work.
LEVEL: Junior.
DONE WHEN: Schema documented in docs/. One example file per type validates against it. Categories are an agreed, fixed enum."
KB-2,KB-2 · Policy content pack,,2,to do,"WHAT: With HR/IT, collect and structure the rules - attendance/hours, dress code, annual leave & benefits, code of conduct, IT/email/apps, facilities. Bilingual (Arabic/English) allowed.
DEPENDS ON: KB-1.
LEVEL: Junior.
DONE WHEN: At least 1 doc per category. Each has a real 'source' citation and an owning_department. All files validate against the schema."
KB-3,KB-3 · Responsibility / ownership map,,2,to do,"WHAT: Map concerns to owners - e.g. laptop to IT, payslip/leave to HR, meeting room/access card/parking to Admin, CRM to Sales Ops. This is what powers 'who do I ask?'.
DEPENDS ON: KB-1.
LEVEL: Junior.
DONE WHEN: At least 10 responsibility areas. Each has an owning_department, a contact person or role, and keywords. Validates against the schema."
KB-4,KB-4 · Department & employee directory,,2,to do,"WHAT: With HR, produce departments.json (name, description, head) and employees.json (name, role, department, email, is_contact_person).
DEPENDS ON: Nothing.
LEVEL: Junior.
DONE WHEN: Every employee.department exists in departments.json. Contact persons flagged. Emails present but treated as sensitive (see AGENT-5 PII-gating)."
KB-5,KB-5 · Bilingual FAQ set,,3,to do,"WHAT: Curate common new-hire questions with grounded answers, general and per-department, in Arabic and English.
DEPENDS ON: KB-1.
LEVEL: Junior.
DONE WHEN: At least 20 Q/A pairs, each tagged with owning_department and language."
KB-6,KB-6 · Content review & sign-off,,3,to do,"WHAT: A checklist and process for an owner (HR/IT/dept head) to approve content before it is indexed, plus a last-reviewed date on each doc.
DEPENDS ON: KB-2.
LEVEL: Junior.
DONE WHEN: Written checklist in docs/. Every published doc has an approver and a review date."
DATA,Directory & Data (Postgres),DATA-1|DATA-2|DATA-3|DATA-4,2,to do,"Epic. The relational directory (departments, employees, responsibility areas) in Postgres, plus its models, seed loader, and local dev database."
DATA-1,DATA-1 · Postgres schema design,,2,to do,"WHAT: ERD and DDL for the relational directory.
DEPENDS ON: KB-4 (need the real fields).
LEVEL: Mid.
DONE WHEN: Tables have primary/foreign keys and referential integrity (employee.department references department). Migration applies cleanly on a fresh database."
DATA-2,DATA-2 · Directory ORM & sessions,,2,to do,"WHAT: SQLAlchemy/SQLModel models plus engine/session helpers, fully typed.
FILES: src/onboard_agent/database/ (align with existing postgres.py/schema.py).
DEPENDS ON: DATA-1.
LEVEL: Mid.
DONE WHEN: Models mirror the schema. mypy strict passes. A simple query test runs against a test database."
DATA-3,DATA-3 · Seed loader (JSON to Postgres),,2,to do,"WHAT: Idempotent loader that reads the directory JSON and upserts into Postgres.
DEPENDS ON: DATA-2.
LEVEL: Junior.
DONE WHEN: Re-running produces no duplicates. Row counts equal source counts. Referential integrity holds."
DATA-4,DATA-4 · Postgres dev compose,,3,to do,"WHAT: Compose service with a healthcheck and a named volume.
DEPENDS ON: Nothing.
LEVEL: Junior.
DONE WHEN: 'docker compose up' gives a reachable Postgres. DSN documented and matches config defaults."
INGEST,Content to Qdrant,INGEST-1|INGEST-2|INGEST-3|INGEST-4|INGEST-5,2,to do,"Epic. Turn the validated content pack into a searchable vector store: self-hosted BGE-M3 embeddings, a Franko normalizer, chunking with metadata, and the end-to-end indexing pipeline into Qdrant."
INGEST-1,INGEST-1 · Qdrant collection setup,,2,to do,"WHAT: Run Qdrant (docker) and create the collection with the correct vector size (1024 for BGE-M3) and distance metric.
DEPENDS ON: Nothing.
LEVEL: Junior.
DONE WHEN: Collection exists with dim=1024. Connection settings match config. Documented."
INGEST-2,INGEST-2 · BGE-M3 embeddings (self-hosted),,2,to do,"WHAT: Wrap the self-hosted BGE-M3 model to embed text. Self-hosted was chosen so employee PII / policy text never leaves our infra.
DEPENDS ON: Nothing.
LEVEL: Mid.
DONE WHEN: Given Arabic and English strings it returns 1024-dim vectors. Batch API. Device configurable (cpu/gpu). Unit test on sample text."
INGEST-3,INGEST-3 · Franko to Arabic normalizer,,2,to do,"WHAT: Rule/dictionary-based normalizer that converts common Franko (Arabizi) to Arabic BEFORE retrieval. This is the fallback so retrieval never depends solely on the LLM understanding Arabizi.
DEPENDS ON: Nothing.
LEVEL: Mid.
DONE WHEN: Unit tests over a sample Franko set map correctly (e.g. '3ayez a3raf el agaza' to its Arabic form). Coverage and known gaps documented."
INGEST-4,INGEST-4 · Chunking & metadata,,3,to do,"WHAT: Chunk policy bodies and tag each chunk with metadata: type (policy|ownership), source, owning_department, language.
DEPENDS ON: KB-1.
LEVEL: Junior.
DONE WHEN: Chunks carry all metadata fields. Size/overlap configurable. Ownership records are indexed whole, not split."
INGEST-5,INGEST-5 · Ingestion pipeline,,2,to do,"WHAT: End-to-end pipeline: load validated pack, chunk, embed, upsert to Qdrant with metadata.
DEPENDS ON: INGEST-2, INGEST-1, INGEST-4, INGEST-3.
LEVEL: Mid.
DONE WHEN: Idempotent re-index (stable ids). Run logs counts. A query returns the seeded docs."
AGENT,Agentic Core,AGENT-1|AGENT-2|AGENT-3|AGENT-4|AGENT-5|AGENT-6|AGENT-7|AGENT-8|AGENT-9,2,to do,"Epic. The agentic core: local LLM served via vLLM, the four tools, language detection + Franko rewrite, the LangGraph tool-calling loop, and the grounding system prompt."
AGENT-1,AGENT-1 · Local LLM serving (vLLM),,2,to do,"WHAT: Stand up the chosen local model behind an OpenAI-compatible vLLM endpoint. Model is chosen AFTER the eval; keep it swappable behind the endpoint.
DEPENDS ON: Nothing.
LEVEL: Mid.
DONE WHEN: /v1/chat/completions responds. model + base_url match config. GPU/hardware requirements documented."
AGENT-2,AGENT-2 · Qdrant retrieval service,,2,to do,"WHAT: top-k similarity search with metadata filters (type/department/language) and a score threshold.
DEPENDS ON: INGEST-5.
LEVEL: Mid.
DONE WHEN: Returns ranked hits with source metadata. Threshold configurable. Empty-result path tested."
AGENT-3,AGENT-3 · Tool: search_policies,,2,to do,"WHAT: Agent tool returning cited policy passages for a query.
DEPENDS ON: AGENT-2.
LEVEL: Mid.
DONE WHEN: Typed input/output. Every result includes its 'source' citation. Returns empty (never fabricated) when nothing scores above threshold."
AGENT-4,AGENT-4 · Tool: find_department_owner,,2,to do,"WHAT: Given a concern, return the owning department plus contact person/channel from the ownership records.
DEPENDS ON: AGENT-2.
LEVEL: Mid.
DONE WHEN: 'who do I ask about parking' returns Admin + contact. Returns 'unknown' cleanly when there is no match."
AGENT-5,AGENT-5 · Tool: lookup_employee (PII-gated),,2,to do,"WHAT: Directory lookup by name/role/department against Postgres. PII gating: return name/role/department/channel by default and MASK the raw email unless explicitly needed.
DEPENDS ON: DATA-2.
LEVEL: Mid.
DONE WHEN: Masking behavior is the default and is unit-tested."
AGENT-6,AGENT-6 · Tool: escalate_to_human,,3,to do,"WHAT: Produce a handoff message routing the user to the right dept/person when the agent cannot answer. This is the fallback path.
DEPENDS ON: AGENT-4.
LEVEL: Junior.
DONE WHEN: Given a department it returns a clear 'ask <person> in <dept> via <channel>' message."
AGENT-7,AGENT-7 · Language detect & query rewrite,,2,to do,"WHAT: Detect Arabic/English/Franko and rewrite the query into a clean retrieval query (LLM plus the Franko normalizer as fallback).
DEPENDS ON: AGENT-1.
LEVEL: Mid.
DONE WHEN: Language recorded on the turn. Franko inputs produce Arabic/English retrieval queries. Original language preserved so the reply comes back in the same language."
AGENT-8,AGENT-8 · LangGraph tool-calling loop,,2,to do,"WHAT: LangGraph agent that lets the LLM call the tools iteratively and compose an answer.
DEPENDS ON: AGENT-3 (and the other tools).
LEVEL: Mid.
DONE WHEN: Multi-step questions resolve (e.g. find owner, then look up contact). Tool errors handled. A max-steps guard prevents infinite loops."
AGENT-9,AGENT-9 · Grounding system prompt,,1,to do,"WHAT: Prompt enforcing: answer ONLY from tool results; reply in the user's language including Franko; always cite the source or escalate; never use parametric knowledge for policy. Critical because the flow is agentic - guardrails carry the weight.
DEPENDS ON: AGENT-8.
LEVEL: Mid.
DONE WHEN: On a question with no supporting content the agent escalates instead of guessing (verified in eval)."
API,API & Memory,API-1|API-2,2,to do,"Epic. The public API surface and per-session conversation memory."
API-1,API-1 · POST /v1/chat endpoint,,2,to do,"WHAT: POST /v1/chat with typed request/response (message, session_id -> answer, sources, escalation).
DEPENDS ON: AGENT-8.
LEVEL: Mid.
DONE WHEN: OpenAPI docs generated. Input validated. Versioned under /v1. Error responses typed."
API-2,API-2 · Conversation memory,,3,to do,"WHAT: Persist per-session conversation state in Postgres.
DEPENDS ON: API-1.
LEVEL: Mid.
DONE WHEN: Follow-up questions keep context within a session. Sessions isolated. State survives a process restart."
EVAL,Quality & Guardrails,EVAL-1|EVAL-2|EVAL-3|EVAL-4,2,to do,"Epic. Lock in answer quality: a multilingual eval set, a grounding guardrail that blocks unsupported answers, the scoring harness, and structured logging."
EVAL-1,EVAL-1 · Multilingual eval set,,2,to do,"WHAT: Curated questions across Arabic/English/Franko with an expected source/owner for each.
DEPENDS ON: KB-2.
LEVEL: Junior.
DONE WHEN: At least 40 questions covering policies, who-to-ask, and out-of-scope, each labeled with its expected outcome (answer+source OR escalate)."
EVAL-2,EVAL-2 · Grounding guardrail,,2,to do,"WHAT: Post-check that the answer is supported by retrieved context; otherwise force escalation.
DEPENDS ON: AGENT-9.
LEVEL: Mid.
DONE WHEN: Injected 'no-context' cases never return a fabricated policy. Guardrail unit-tested."
EVAL-3,EVAL-3 · Eval harness,,3,to do,"WHAT: Run the agent over the eval set and report grounding, accuracy, and escalation-correctness per language.
DEPENDS ON: EVAL-1.
LEVEL: Mid.
DONE WHEN: A single command produces a scored report. Results reproducible. Baseline recorded."
EVAL-4,EVAL-4 · Structured logging,,3,to do,"WHAT: Structured logs for each turn: detected language, tools called, sources, escalation.
DEPENDS ON: API-1.
LEVEL: Junior.
DONE WHEN: JSON logs (no print statements). One trace per request. PII not logged in the clear."
INFRA,Ops & Deployment,INFRA-1|INFRA-2|INFRA-3,3,to do,"Epic. Local dev stack, CI/CD wiring into the existing branch strategy, and cost/latency controls."
INFRA-1,INFRA-1 · Dev docker-compose stack,,2,to do,"WHAT: One compose file to bring up the full local stack (Qdrant + Postgres + vLLM).
DEPENDS ON: Nothing.
LEVEL: Mid.
DONE WHEN: 'docker compose up' yields reachable Qdrant + Postgres + LLM endpoint matching config defaults. README quickstart updated."
INFRA-2,INFRA-2 · CI/CD wiring,,3,to do,"WHAT: Extend the existing CI and dev/staging/main deploy to build, test, and deploy the service.
DEPENDS ON: API-1.
LEVEL: Mid.
DONE WHEN: CI runs ruff + mypy + pytest on PRs. Deploy job maps to environments per docs/branching-strategy.md."
INFRA-3,INFRA-3 · Cost & rate limiting,,4,to do,"WHAT: Track tokens/latency per request and rate-limit per user/session.
DEPENDS ON: API-1.
LEVEL: Mid.
DONE WHEN: Metrics emitted. Limit configurable. Over-limit returns a clean 429."
FIX,Fixes & Integration,FIX-1|FIX-2|FIX-3|FIX-4|FIX-5|FIX-6|FIX-7|FIX-8,1,to do,"Epic. Fix the currently-broken dev branch and integrate the auth work with the agent. The two Urgent items mean dev does not run right now - do them first."
FIX-1,FIX-1 · Repair broken graph import,,1,to do,"WHAT: dev is broken. graph/nodes.py imports llm_with_tools from model/llm.py, but llm.py only defines 'llm'. Add 'llm_with_tools = llm.bind_tools(tools)' in model/llm.py (import tools from onboard_agent.tools).
FILES: src/onboard_agent/model/llm.py, src/onboard_agent/graph/nodes.py.
DEPENDS ON: Nothing.
LEVEL: Mid.
DONE WHEN: 'from onboard_agent.graph.build_graph import invoke_graph' imports with no error. invoke_graph runs end-to-end on a sample question."
FIX-2,FIX-2 · Correct LangChain import,,1,to do,"WHAT: api/endpoints.py imports 'from langchain.messages import HumanMessage'; the correct module is 'langchain_core.messages'.
FILES: src/onboard_agent/api/endpoints.py (around line 5).
DEPENDS ON: Nothing.
LEVEL: Junior.
DONE WHEN: App imports/starts with no ImportError. ruff clean."
FIX-3,FIX-3 · Wire /chat to the agent graph,,2,to do,"WHAT: endpoints.py /chat calls llm.invoke directly, bypassing tools/RAG (Anthony's own comment: 'should be graph invoke later'). Replace with invoke_graph(request.prompt) and return the final message content.
FILES: src/onboard_agent/api/endpoints.py.
DEPENDS ON: FIX-1.
LEVEL: Mid.
DONE WHEN: A directory question routes through query_sql_db and an unstructured one through query_vector_db. Response reflects tool output."
FIX-4,FIX-4 · Integrate auth branch onto dev,,2,to do,"WHAT: The authentication branch forked BEFORE the agent merge; a test-merge gives hard conflicts in main.py and endpoints.py (config.py auto-merges). Rebase authentication onto dev, then resolve by keeping the APIRouter + setup_middleware + Depends(verify_token) on /chat AND invoke_graph inside the protected /chat.
FILES: main.py, src/onboard_agent/api/endpoints.py, src/onboard_agent/api/security.py, src/onboard_agent/api/middleware.py.
DEPENDS ON: FIX-3.
LEVEL: Mid.
DONE WHEN: One FastAPI app with /health (public) and /chat (auth-protected) that actually runs the agent - no stub 'You are authenticated!' response. Merges into dev with zero conflicts."
FIX-5,FIX-5 · Restrict CORS origins,,3,to do,"WHAT: middleware.py sets allow_origins=['*'] together with allow_credentials=True (rejected by browsers and over-permissive). Use an explicit allowed-origins list sourced from config, per environment.
FILES: src/onboard_agent/api/middleware.py.
DEPENDS ON: FIX-4.
LEVEL: Junior.
DONE WHEN: Origins configurable via env. Credentials allowed only with explicit origins. Documented."
FIX-6,FIX-6 · Constant-time token check,,3,to do,"WHAT: security.py compares tokens with != (timing-unsafe). Switch to secrets.compare_digest.
FILES: src/onboard_agent/api/security.py.
DEPENDS ON: FIX-4.
LEVEL: Junior.
DONE WHEN: Comparison uses compare_digest. Existing auth behavior (401/500/dev-bypass) unchanged and tested."
FIX-7,FIX-7 · Align stack with architecture,,2,to do,"WHAT: The current prototype uses Chroma + OpenAIEmbeddings + SQLite + gemma-4 via an OpenAI base_url - this diverges from the decided Qdrant + self-hosted BGE-M3 + Postgres + local LLM, and OpenAIEmbeddings sends KB text off-infra (breaks the data-residency decision). Migrate to the target stack; treat the current prototype as throwaway. Overlaps epics DATA, INGEST, AGENT.
DEPENDS ON: Nothing (coordinate with DATA/INGEST/AGENT).
LEVEL: Mid.
DONE WHEN: No OpenAIEmbeddings. Vectors in Qdrant. Directory in Postgres. Generation via local vLLM endpoint. Decision recorded in docs/."
FIX-8,FIX-8 · Clean up placeholder files,,4,to do,"WHAT: Empty files committed on dev: graph/edges.py, memory/checkpointer.py, prompts/sql_prompt, prompts/vector_prompt (and api/middleware.py, superseded by the auth branch). Implement or remove each; give the prompt files a .py extension.
DEPENDS ON: Nothing.
LEVEL: Junior.
DONE WHEN: No empty .py placeholders remain on dev, or each is owned by a tracked task."
